Ano do nascimento;RS;Total
2000;176469;176469
2001;160493;160493
2002;155186;155186
2003;149128;149128
2004;153021;153021
2005;147303;147303
2006;141576;141576
2007;133568;133568
2008;135274;135274
2009;133828;133828
2010;133424;133424
2011;137870;137870
2012;139129;139129
2013;141491;141491
2014;143440;143440
2015;148415;148415
2016;141446;141446
2017;141608;141608
2018;140052;140052
2019;134575;134575
2020;130600;130600
2021;124349;124349
2022;120916;120916
2023;120907;120907
